roc_auc,pr_auc,balanced_accuracy,f1,brier,n_test,prevalence,model_block,learner,cv_scheme,fold,n_predictors,cal_intercept,cal_slope
0.6986763919514056,0.7511697619211118,0.6527756915947185,0.6950171821305842,0.22478494637509203,2045,0.6058679706601467,M0,logit,spatial,0,6,,
0.7648165109145586,0.7653721803845294,0.6874187778929175,0.7085927770859277,0.19928489845958808,1478,0.581190798376184,M0,logit,spatial,1,6,,
0.6866836286753507,0.6228058524385938,0.6319327731092437,0.4984552008238929,0.21259493878883803,1533,0.3881278538812785,M0,logit,spatial,2,6,,
0.7662854142628934,0.8783761768919041,0.6963585528048144,0.792,0.210968432272832,2431,0.6947758124228712,M0,logit,spatial,3,6,,
0.5421265944161984,0.49109106332708086,0.5486742931049862,0.6409495548961425,0.27453389915822607,2396,0.4941569282136895,M0,logit,spatial,4,6,,
0.7313850720083634,0.7771037327351132,0.6475270219119317,0.6461538461538462,0.22285416134840838,2045,0.6058679706601467,M0,xgb,spatial,0,7,,
0.770887363861875,0.7630616087871307,0.7179131537027877,0.7760857304004513,0.18630370601968313,1478,0.581190798376184,M0,xgb,spatial,1,7,,
0.6890827972980237,0.5563408889497039,0.6016116894519001,0.4669950738916256,0.21847627426914532,1533,0.3881278538812785,M0,xgb,spatial,2,7,,
0.6760112604309796,0.7792439684396744,0.5886870650267547,0.537219377707759,0.2642333760769009,2431,0.6947758124228712,M0,xgb,spatial,3,7,,
0.6196355699759165,0.5722255721691182,0.5685682588529123,0.6714960629921259,0.2764059723523938,2396,0.4941569282136895,M0,xgb,spatial,4,7,,
0.6980885890125911,0.717299355240538,0.6803673818435984,0.7271193589202868,0.22140083646231676,2045,0.6058679706601467,M1,logit,spatial,0,22,,
0.7187679252841245,0.7075691900411053,0.6502028319362974,0.6941950927588271,0.2069523868289269,1478,0.581190798376184,M1,logit,spatial,1,22,,
0.6767626453566502,0.5762543853121223,0.6244261883858021,0.5,0.21431225279537314,1533,0.3881278538812785,M1,logit,spatial,2,22,,
0.7266792101739653,0.8124946272381685,0.6789308974033663,0.7275769745649264,0.22304044910817725,2431,0.6947758124228712,M1,logit,spatial,3,22,,
0.5589578594683793,0.5065130497031154,0.569093691463741,0.6563119629874422,0.2693536788974387,2396,0.4941569282136895,M1,logit,spatial,4,22,,
0.7722619097687442,0.8182377932523435,0.6945427453902031,0.7004103967168263,0.2075216999054537,2045,0.6058679706601467,M1,xgb,spatial,0,27,,
0.7766441423227595,0.7739002157916522,0.7109282875793884,0.7677455990914254,0.18401007603143407,1478,0.581190798376184,M1,xgb,spatial,1,27,,
0.7036802780813818,0.5820445142067947,0.6163928257870313,0.4824120603015075,0.22685299795483618,1533,0.3881278538812785,M1,xgb,spatial,2,27,,
0.728247148586302,0.8223141632180828,0.630217085661303,0.5842696629213483,0.2576574755099933,2431,0.6947758124228712,M1,xgb,spatial,3,27,,
0.6315438659575416,0.5918181336164737,0.601798735616805,0.6852094240837696,0.2566926232333078,2396,0.4941569282136895,M1,xgb,spatial,4,27,,
0.8093345509966614,0.8899567931783395,0.7535148012184645,0.7735191637630662,0.17646770099649492,2045,0.6058679706601467,M2,logit,spatial,0,15,,
0.7874825331329776,0.8259179383017625,0.7070785242636646,0.7339449541284404,0.1930874536132896,1478,0.581190798376184,M2,logit,spatial,1,15,,
0.5862822741036714,0.46497371083999967,0.5336385300388812,0.26335403726708073,0.2410472137597252,1533,0.3881278538812785,M2,logit,spatial,2,15,,
0.8212534251275496,0.9171707566897032,0.7618700518177712,0.7930009904258831,0.17946829640151418,2431,0.6947758124228712,M2,logit,spatial,3,15,,
0.6649321815627508,0.6264235340695972,0.6375852956917313,0.6946191474493362,0.2471264482488914,2396,0.4941569282136895,M2,logit,spatial,4,15,,
0.8359569171488253,0.8865738289858655,0.7695602192595085,0.7911993097497843,0.16583423642532824,2045,0.6058679706601467,M2,xgb,spatial,0,17,,
0.8011231454089646,0.8233134524316362,0.7269761773561698,0.7683284457478006,0.17638717837029366,1478,0.581190798376184,M2,xgb,spatial,1,17,,
0.7184963537653869,0.615593450989361,0.6118525021949078,0.4384180790960452,0.2178408235278783,1533,0.3881278538812785,M2,xgb,spatial,2,17,,
0.7412734053707275,0.8567459778058905,0.6620873289830025,0.6354439865118022,0.24894442903719619,2431,0.6947758124228712,M2,xgb,spatial,3,17,,
0.6872881544911248,0.6829098564087241,0.6262543484078138,0.6743849493487699,0.2440612672793951,2396,0.4941569282136895,M2,xgb,spatial,4,17,,
0.8527528604073165,0.9154911308680831,0.7931829879615555,0.8205560235888796,0.15338774425668122,2045,0.6058679706601467,M3,logit,spatial,0,31,0.24780004564485777,1.2120944711015358
0.7702723796878439,0.7986288599129877,0.6992755599271047,0.7702479338842976,0.18827160513482993,1478,0.581190798376184,M3,logit,spatial,1,31,0.07638583135982571,1.3573487834384677
0.6458422174840086,0.5475115344267469,0.5968267904176596,0.4157303370786517,0.23132460328175455,1533,0.3881278538812785,M3,logit,spatial,2,31,-0.06330175803811684,0.48722612425389455
0.8338400208100936,0.9170247129731857,0.7573593363750541,0.7802750754780275,0.18229873476730027,2431,0.6947758124228712,M3,logit,spatial,3,31,1.063717453477662,1.474575246029858
0.6761948365444652,0.6414643264313924,0.6434417090357685,0.6908960057574667,0.23875157151702736,2396,0.4941569282136895,M3,logit,spatial,4,31,-0.27627742459086746,0.56773512725043
0.8226227026117676,0.874961873765649,0.7530942267136909,0.7861369399830939,0.1749617138276256,2045,0.6058679706601467,M3,xgb,spatial,0,37,0.31989140601471944,0.6257354186950853
0.8103610728182636,0.8250050627507648,0.7449376646775283,0.8006718924972005,0.16606282710317266,1478,0.581190798376184,M3,xgb,spatial,1,37,0.18026909810080252,0.9311804979065118
0.7147497805092187,0.6268900113490645,0.6145177473974665,0.4409090909090909,0.21811846307000018,1533,0.3881278538812785,M3,xgb,spatial,2,37,0.25754599704733133,0.6215245232608141
0.7286692551614298,0.849360128415815,0.6381086433702138,0.5927357032457496,0.2660622463713541,2431,0.6947758124228712,M3,xgb,spatial,3,37,1.2844379397456258,0.7431948441354492
