auc_mean,auc_sd,prauc_mean,n_predictors,scale
0.7208393952983974,0.07277193544768729,0.7397025911309465,21,0_30
0.7440982330424705,0.06014081946106962,0.767532468886218,22,30_100
0.752895449057718,0.042007398860358355,0.7671165714938946,22,100_300
0.7556536572772901,0.05075747845653599,0.7753823654300704,37,all_scales
