learner,mean_pred,frac_pos
logit,0.1270923092638005,0.23660262891809908
logit,0.2229750481832846,0.25
logit,0.3049935328033922,0.3340080971659919
logit,0.39388115620139347,0.41295546558704455
logit,0.48496072108375876,0.5682507583417593
logit,0.5745811209752136,0.6730769230769231
logit,0.6554277959956779,0.7044534412955465
logit,0.7291868472920681,0.7773279352226721
logit,0.8065208146692401,0.8168016194331984
logit,0.9042569108859189,0.8584428715874621
xgb,0.05290322273421592,0.1890798786653185
xgb,0.13048980259883258,0.3006072874493927
xgb,0.22192415085278058,0.38461538461538464
xgb,0.3230568976235776,0.49291497975708504
xgb,0.431418760993242,0.5945399393326593
xgb,0.5437247484379452,0.6194331983805668
xgb,0.6461204405014331,0.6993927125506073
xgb,0.7476071020369588,0.7004048582995951
xgb,0.8511615746658341,0.7894736842105263
xgb,0.9557195101517155,0.8614762386248737
